Radar Station | produced by | National Film Board of Canada
Radar Station | part of series | On The Spot
Radar Station | release year | 1953
Radar Station | country of origin | Canada
Radar Station | film type | short documentary
Radar Station | content description | visit to a radar station during simulated air attack
Radar Station | based on | first-person interviews of radar station staff
RAF Trimingham | also known as | Remote Radar Head Trimingham
RAF Trimingham | also known as | RRH Trimingham
RAF Trimingham | radar type | TPS-77
RAF Trimingham | location | Norfolk
RAF Trimingham | location description | on coast road between Cromer and Mundesley
RAF Trimingham | distance from | 1 km east of Trimingham village
RAF Trimingham | satellite station of | RAF Neatishead
RAF Trimingham | maintained by | Radar Technicians and Operators
RAF Trimingham | supported by | Ground Engineers
RAF Trimingham | coverage area | East coast of the United Kingdom
RAF Trimingham | contributes to | recognised air picture and defence of the United Kingdom
RAF Trimingham | equipment operational date | September 1995
France | operated within | NATO command structure
France | integrated | Défense Aérienne du Territoire
Défense Aérienne du Territoire | used | American aid funds
Défense Aérienne du Territoire | built | Ouvrage G
Ouvrage G | also known as | Station Maître Radar 60/921
Ouvrage G | used from | 1959
Ouvrage G | covered area | three times the area of the troops shelter
Ouvrage G | located at | Fort François de Guise
Ouvrage G | established as | Base aérienne 901 Drachenbronn/Station Maître Radar 50/921
Ouvrage G | equipped with | seven radar antennas
principal radars | located on | Ballon de Servance
No. 227 Radar Station RAAF | established during | World War II
No. 227 Radar Station RAAF | purpose | provide early warning of Japanese air raids against Perth
No. 227 Radar Station RAAF | formed in | 1942–43
No. 227 Radar Station RAAF | operational by | late 1943
Mukachevo radar station | purpose | providing early warning of ballistic missile attack
Mukachevo radar station | part of | Soviet missile attack warning system
Mukachevo radar station | part of | Russian missile attack warning system
Mukachevo radar station | information used for | launch on warning nuclear missile attack
Mukachevo radar station | information used for | engage the A-135 anti-ballistic missile system
Dwarka | located in | Devbhoomi Dwarka district
Dwarka | located in | Gujarat
Dwarka | located in | Indian
Dwarka | located on | western shore of the Okhamandal Peninsula
Dwarka | located on | right bank of the Gomti River
Dwarka | is part of | Chardhams
Dwarka | is part of | Sapta Puri
Dwarka | associated with | Dwarka Kingdom
Dwarka | associated with | Krishna
Dwarka | was | first capital of Gujarat
B-71 radar station | also known as | Klamath River Radar Station
B-71 radar station | also known as | Radar Station
B-71 radar station | also known as | Trinidad Radar Station
B-71 radar station | type | Army Air Force early warning station
B-71 radar station | historical period | World War II
B-71 radar station | disguise | farmhouse
U.S. Army | built | farm buildings
farm buildings | housed | Soviet early warning radar stations
farm buildings | appeared as | working farm
farm buildings | contained | diesel generator
farm buildings | contained | electronic equipment
farm buildings | contained | 50-caliber anti-aircraft guns
B-71 radar station | part of | 65 stations along western coast of America
B-71 radar station | located at | Coastal Dr. just south of the mouth of Klamath River
Skrunda-1 | is a | ghost town
Skrunda-1 | is a | former Soviet radar station
Skrunda-1 | located in | Paris
Skrunda-1 | located in | Latvia
Skrunda-1 | distance from | 5 km north of Skrunda
Skrunda-1 | had | two Dnepr radar installations
Dnepr radar | NATO designation | Hen House
Skrunda-1 | was building | Daryal radar
Skrunda-1 | was strategically important to | Soviet Union
Skrunda-1 | covered | Western Europe
Skrunda-1 | was part of | Soviet early warning radar stations
Skrunda-1 | purpose | listening to objects in space
Skrunda-1 | purpose | tracking possible incoming ICBMs
Sevastopol Radar Station | was a | former Soviet radar station
Sevastopol Radar Station | purpose | providing early warning of ballistic missile attack
Sevastopol Radar Station | located between | Cape of Chersones
Sevastopol Radar Station | located between | auxiliary airfield "Chersones
Sevastopol Radar Station | located in | Sevastopol
Sevastopol Radar Station | was part of | Soviet missile attack warning system
Sevastopol Radar Station | information could be used for | launch on warning nuclear missile attack
Sevastopol Radar Station | information could be used to engage | engage the A-135 anti-ballistic missile system
Iqbal F. Qadir | 军衔 | Vice-Admiral
Iqbal F. Qadir | 服役于 | Pakistan Navy
Iqbal F. Qadir | 职业 | diplomat
Iqbal F. Qadir | 职业 | defence analyst
Iqbal F. Qadir | 参与战争 | second war with India
Tivolis Koncertsal | 位于 | Tivoli Gardens
Tivolis Koncertsal | 设计者 | Frits Schlegel
Tivolis Koncertsal | 设计者 | Hans Hansen
Tivolis Koncertsal | 建造时间 | 1954-1956
Tivoli Gardens | 类型 | amusement park
Tivoli Gardens | 类型 | pleasure garden
Tivoli Gardens | 开业时间 | 15 August 1843
Tivoli Gardens | 历史地位 | second-oldest operating amusement park in the world
Takino Suzuran Hillside National Government Park | located in | Sapporo
Takino Suzuran Hillside National Government Park | located in | Hokkaido
Takino Suzuran Hillside National Government Park | has area | 395.7 hectares
Takino Suzuran Hillside National Government Park | altitude range | 160 to 320 m
Takino Suzuran Hillside National Government Park | public accessible area | 192.3 hectares
Takino Suzuran Hillside National Government Park | has zone | Mountain Stream Zone
Takino Suzuran Hillside National Government Park | has zone | Central Zone
Takino Suzuran Hillside National Government Park | has zone | Lodging Zone
Takino Suzuran Hillside National Government Park | has zone | Forest Experience Zone
Takino Suzuran Hillside National Government Park | has zone | Nature Observation Zone
Takino Suzuran Hillside National Government Park | has zone | Preservation Zone
Takino Suzuran Hillside National Government Park | operates as | Takino Snow World
Takino Snow World | provides | winter outdoor activities
Copake Falls Area | located in | Taconic State Park
Copake Falls Area | located in | Copake
Copake | located in | Columbia County
Columbia County | located in | New York
Taconic State Park | has subdivision | Rudd Pond Area
Copake Falls Area | located on | New York State Route 344
Copake Falls Area | operating hours | sunrise to sunset
Copake Falls Area | has attraction | campground
campground | open period | May to December
Copake Falls Area | has attraction | cabin area
cabin area | open period | year-round
cabin area | has access to | nearby skiing areas
Wait and See | performed by | Duke Jordan's Trio
Duke Jordan's Trio | profession | pianist
Wait and See | recorded at | Tivolis Koncertsal
Wait and See | released by | SteepleChase
SteepleChase | located in | Denmark
Wait and See | release year | 1985
Pepper Tree Playfield | located in | Newbury Park
Pepper Tree Playfield | area | 21.7-acre
Pepper Tree Playfield | type | community park
Pepper Tree Playfield | located at | corner of Reino- and Old Conejo Roads
Pepper Tree Playfield | acquired by | Conejo Recreation & Park District
Pepper Tree Playfield | acquired year | 1977
Pepper Tree Playfield | opened year | 1983
Pepper Tree Playfield | contains | 0.83-mile fitness trail loop
Pepper Tree Playfield | nearby | numerous trailheads
Pepper Tree Playfield | walking distance from | Conejo Vista Trailhead
Pepper Tree Playfield | located north of | Deer Ridge Open Space
Pepper Tree Playfield | across the street from | Knoll Trailhead
Pepper Tree Playfield | access point for | trails leading to Conejo Mountain
Deer Ridge Open Space | located in | Newbury Park
Deer Ridge Open Space | area | 188-acre
Deer Ridge Open Space | contains | north-facing mountainous ridges and canyons
Deer Ridge Open Space | dominated by | chaparral and oak trees
Deer Ridge Open Space | borders | Santa Monica Mountains
Los Robles Trail | traverses | Deer Ridge Open Space
Deer Ridge Open Space | has trailhead | Potrero Road
Deer Ridge Open Space | has access point | Felton Street
Los Robles Trail | is longest trail of | Conejo Open Space Conservation Agency
Los Robles Trail | connects to | Los Padres Open Space
Los Robles Trail | connects to | Deer Ridge Open Space
Los Robles Trail | connects to | Hope Nature Preserve
Los Robles Trail | connects to | Los Vientos Open Space
Los Robles Trail | provides views of | Conejo Valley
Los Robles Trail | provides views of | Santa Monica Mountains
Los Robles Trail | enters | Hope Nature Preserve
Los Robles Trail | length | more than 25 miles
Los Robles Trail | connects | Newbury Park to Westlake Village
Hidden Valley | located south of | Deer Ridge Open Space
Rancho Sierra Vista "Satwiwa | located south of | Deer Ridge Open Space
Ventu Park Open Space | located in | Newbury Park
Ventu Park Open Space | has feature | Rosewood Trail
Rosewood Trail | leads to | Angel Vista Point
Angel Vista Point | is peak in | Santa Monica Mountains
Rosewood Trail | has parking at | Stagecoach Inn Park
Stagecoach Inn Park | located across from | primary trailhead
Rosewood Trail | begins with | oak woodland
Rosewood Trail | crosses | creek
Rosewood Trail | climbs to | Angel Vista Point
Angel Vista Point | offers views of | Conejo Valley
Angel Vista Point | offers views of | Oxnard Plain
Angel Vista Point | offers views of | California Channel Islands
Angel Vista Point | offers views of | Pacific Ocean
Angel Vista Point | offers views of | Point Mugu
Angel Vista Point | offers views of | Hidden Valley
Angel Vista Point | offers views of | Santa Monica Mountains
Angel Vista Point | offers views of | Topa Topa Mountains
Rosewood Trail | is starting point for | Los Robles Trail
Los Robles Trail | operated by | Conejo Open Space Conservation Agency
Los Robles Trail | length | 25-mile
Los Robles Trail | starts at | Angel Vista Point
Los Robles Trail | connects | Newbury Park
Los Robles Trail | connects | City of Westlake Village
Los Robles Trail | crosses | Hidden Valley
Los Robles Trail | crosses | Thousand Oaks
Los Robles Trail | crosses | Lake Sherwood
hikers | can cross | Potrero Ridge
trails | leads to | Satwiwa
Satwiwa | connects to | Point Mugu
trails | cross | Santa Monica Mountains
trails | cross | Big Sycamore Canyon
trails | used by | equestrians
trails | used by | mountain bikers
trails | used by | hikers
Rosewood Trail | length | 5-mile roundtrip
Rosewood Trail | starts at | Stagecoach Inn Park
Rosewood Trail | ends at | Angel Vista Point
Tivoli Two | performed by | Duke Jordan's Trio
Tivoli Two | recorded at | Tivolis Koncertsal
Tivoli Two | released by | SteepleChase label
Tivoli Two | release year | 1984
Tivoli One | performed by | Duke Jordan's Trio
Tivoli One | recorded at | Tivolis Koncertsal
Tivoli One | released by | SteepleChase label
Tivoli One | release year | 1984
Hawthorn Hall | originally built as | timber-framed yeoman house
Hawthorn Hall | improved by | John Leigh
Hawthorn Hall | construction material | plum-coloured brick
Hawthorn Hall | roof material | Kerridge stone-slate
Hawthorn Hall | has feature | three brick chimneys
Hawthorn Hall | has feature | timber-framing in roof gables
Hawthorn Hall | has feature | timber-framing in internal wall
Hawthorn Hall | architectural style | long rectangle plan
Hawthorn Hall | has | 2½ storeys
Hawthorn Hall | has feature | near-symmetrical north front
Hawthorn Hall | has feature | four gables with bargeboards and mace finials
Hawthorn Hall | has feature | wooden mullioned and transomed windows
Hawthorn Hall | has feature | central doorway with plain pilasters
Hawthorn Hall | has feature | segmental hood framing a cartouche with date 1698
Hawthorn Hall | has feature | small balustrade above door
Hawthorn Hall | has feature | half-glazed lantern with cupola and weathervane
Hawthorn Hall | historical use | homeless shelter school
Hawthorn Hall | current use | offices
door | flanked by | fluted pilasters
door | surmounted by | plaque with a lion rampant
east front | has | two gables
Nikolaus Pevsner | comments on | house
house | listed in | listed in National Heritage List for England
house | has designation | Grade II* listed building
garden walls | parts of | listed in National Heritage List for England
Wilmslow High School | is a | mixed-sex 11–18 comprehensive secondary school
Wilmslow High School | has designation | Centre of Excellence
Wilmslow High School | founded in | 1960
Wilmslow High School | originally was | grammar school
Wilmslow High School | became | comprehensive school
Wilmslow High School | has head teacher | Dr. James Pullé
Wilmslow High School | is rated | good by Ofsted
Corn School | is a | festival and street fair
Corn School | occurs during | first week of October every year
Corn School | started in | 1906
Corn School | originally was | one-day festival for boys in local corn growing classes
Corn School | had speakers | Governor of Indiana Frank Hanly
Corn School | had speakers | State Secretary of Agriculture
Wilmslow Show | 举办地点 | Wilmslow High School
Wilmslow High School | 位于 | Wilmslow
Wilmslow | 位于 | Cheshire
Cheshire | 位于 | England
Wilmslow Show | 举办频率 | one-day event
Wilmslow Show | 举办时间 | second Sunday in July
Wilmslow Show | 包含项目 | Horticulture
Wilmslow Show | 包含项目 | Dogs
Wilmslow Show | 包含项目 | Classic Cars
Spartan Municipal Stadium | formerly known as | Universal Stadium
Spartan Municipal Stadium | hosted | Portsmouth Spartans
Portsmouth Spartans | belongs to | National Football League
Spartan Municipal Stadium | hosted | local high school teams
Spartan Municipal Stadium | built in | 1930
Spartan Municipal Stadium | renamed in | 1970
Spartan Municipal Stadium | designated as | state historical site
Spartan Municipal Stadium | owned by | City of Portsmouth
City of Portsmouth | replaced | walls and the press box
City of Portsmouth | upgraded | lighting
City of Portsmouth | limited use to | regular football games
Portsmouth High School | played at | Spartan Municipal Stadium
Notre Dame High School | played at | Spartan Municipal Stadium
City of Portsmouth | wanted to sell | Spartan Municipal Stadium
Portsmouth City School District | turned down offer | Spartan Municipal Stadium
Portsmouth City School District | received funding | $100 million
California State Summer School for the Arts | abbreviated as | CSSSA
CSSSA | duration | four-week
CSSSA | target audience | high school grade students
CSSSA | held at | California Institute of the Arts
CSSSA | goal | provide a supportive environment for artistic training
CSSSA | offers | animation
CSSSA | offers | creative writing
CSSSA | offers | dance
CSSSA | offers | film and video
CSSSA | offers | musician
CSSSA | offers | theatre arts
CSSSA | offers | visual arts
CSSSA | purpose | training ground for future artists
CSSSA | designates | California Institute of the Arts
CSSSA | awards | Governor's Medallion
CSSSA | founded in | 1987
CSSSA | funded by | public/private partnership
Pownall Hall | located in | Wilmslow
Pownall Hall | located in | Cheshire
Pownall Hall | located in | England
Pownall Hall | architectural style | Georgian house dressed up in the Tudor style
Pownall Hall | bought by | Henry Boddington
Henry Boddington | occupation | Manchester
Henry Boddington | transformed | Pownall Hall
Pownall Hall | showcase for | Arts and Crafts Movement
Pownall Hall | architect | William Ball
William Ball | partnership | Ball and Elce
Ball and Elce | located in | Manchester
Pownall Hall | decoration and furniture design by | Century Guild
Century Guild | founded by | A. H. Mackmurdo
Pownall Hall | heritage designation | Grade II* listed building
Pownall Hall | current use | schools
2015 CIS Men's University Cup Hockey Tournament | held in | Scotiabank Centre
2015 CIS Men's University Cup Hockey Tournament | hosted by | St. Francis Xavier University
2015 CIS Men's University Cup Hockey Tournament | hosted by | Saint Mary's University
2015 CIS Men's University Cup Hockey Tournament | is part of | CIS Championships
